,Time,1,2
69,2026-03-18 20:57:03,-1.849 °C,-3.858 °C
70,2026-03-18 20:58:03,-2.079 °C,-3.871 °C
71,2026-03-18 20:59:03,-1.938 °C,-3.880 °C
72,2026-03-18 21:00:03,-2.023 °C,-3.881 °C
73,2026-03-18 21:01:03,-2.114 °C,-3.887 °C
74,2026-03-18 21:02:03,-1.472 °C,-3.899 °C
75,2026-03-18 21:03:03,-1.228 °C,-3.912 °C
76,2026-03-18 21:04:03,-1.529 °C,-3.883 °C
77,2026-03-18 21:05:03,-2.021 °C,-3.863 °C
78,2026-03-18 21:06:03,-2.065 °C,-3.861 °C
79,2026-03-18 21:07:03,-1.867 °C,-3.760 °C
80,2026-03-18 21:08:03,-1.726 °C,-3.762 °C
81,2026-03-18 21:09:03,-1.830 °C,-3.791 °C
82,2026-03-18 21:10:03,-1.740 °C,-3.795 °C
83,2026-03-18 21:11:03,-1.312 °C,-3.744 °C
84,2026-03-18 21:12:03,-1.414 °C,-3.554 °C
85,2026-03-18 21:13:03,-1.271 °C,-3.342 °C
86,2026-03-18 21:14:03,-1.204 °C,-3.226 °C
87,2026-03-18 21:15:03,-1.583 °C,-3.257 °C
88,2026-03-18 21:16:03,-1.827 °C,-3.348 °C
89,2026-03-18 21:17:03,-1.889 °C,-3.428 °C
90,2026-03-18 21:18:03,-1.917 °C,-3.489 °C
91,2026-03-18 21:19:03,-1.543 °C,-3.512 °C
92,2026-03-18 21:20:03,-1.074 °C,-3.249 °C
93,2026-03-18 21:21:03,-0.847 °C,-3.210 °C
94,2026-03-18 21:22:03,-0.782 °C,-3.207 °C
95,2026-03-18 21:23:03,-0.560 °C,-3.267 °C
96,2026-03-18 21:24:03,-0.723 °C,-3.337 °C
97,2026-03-18 21:25:03,-1.072 °C,-3.394 °C
98,2026-03-18 21:26:03,-1.464 °C,-3.460 °C
99,2026-03-18 21:27:03,-1.690 °C,-3.520 °C
100,2026-03-18 21:28:03,-1.738 °C,-3.543 °C
101,2026-03-18 21:29:03,-1.666 °C,-3.555 °C
102,2026-03-18 21:30:03,-1.409 °C,-3.477 °C
103,2026-03-18 21:31:03,-1.274 °C,-3.371 °C
104,2026-03-18 21:32:03,-1.458 °C,-3.391 °C
105,2026-03-18 21:33:03,-1.683 °C,-3.435 °C
106,2026-03-18 21:34:03,-1.576 °C,-3.466 °C
107,2026-03-18 21:35:03,-1.431 °C,-3.464 °C
108,2026-03-18 21:36:03,-1.340 °C,-3.482 °C
109,2026-03-18 21:37:03,-1.474 °C,-3.505 °C
110,2026-03-18 21:38:03,-1.681 °C,-3.534 °C
111,2026-03-18 21:39:03,-1.340 °C,-3.532 °C
112,2026-03-18 21:40:03,-1.014 °C,-3.394 °C
113,2026-03-18 21:41:03,-1.269 °C,-3.355 °C
114,2026-03-18 21:42:03,-1.067 °C,-3.348 °C
115,2026-03-18 21:43:03,-1.409 °C,-3.314 °C
116,2026-03-18 21:44:03,-1.372 °C,-3.367 °C
117,2026-03-18 21:45:03,-1.357 °C,-3.421 °C
118,2026-03-18 21:46:03,-1.529 °C,-3.450 °C
119,2026-03-18 21:47:03,-1.731 °C,-3.477 °C
120,2026-03-18 21:48:03,-1.794 °C,-3.496 °C
121,2026-03-18 21:49:03,-1.576 °C,-3.527 °C
122,2026-03-18 21:50:03,-1.875 °C,-3.548 °C
123,2026-03-18 21:51:03,-2.110 °C,-3.566 °C
124,2026-03-18 21:52:03,-2.131 °C,-3.590 °C
125,2026-03-18 21:53:03,-1.792 °C,-3.599 °C
126,2026-03-18 21:54:03,-1.626 °C,-3.604 °C
127,2026-03-18 21:55:03,-1.292 °C,-3.622 °C
128,2026-03-18 21:56:03,-0.852 °C,-3.649 °C
129,2026-03-18 21:57:03,-1.564 °C,-3.642 °C
130,2026-03-18 21:58:03,-1.572 °C,-3.419 °C
131,2026-03-18 21:59:03,-1.319 °C,-3.230 °C
132,2026-03-18 22:00:03,-1.353 °C,-3.135 °C
133,2026-03-18 22:01:03,-1.316 °C,-3.089 °C
134,2026-03-18 22:02:03,-1.216 °C,-3.071 °C
135,2026-03-18 22:03:03,-1.610 °C,-3.119 °C
136,2026-03-18 22:04:03,-1.964 °C,-3.178 °C
137,2026-03-18 22:05:03,-1.787 °C,-3.232 °C
138,2026-03-18 22:06:03,-1.856 °C,-3.264 °C
139,2026-03-18 22:07:03,-1.957 °C,-3.307 °C
140,2026-03-18 22:08:03,-1.978 °C,-3.349 °C
141,2026-03-18 22:09:03,-1.931 °C,-3.383 °C
142,2026-03-18 22:10:03,-2.039 °C,-3.401 °C
143,2026-03-18 22:11:03,-2.030 °C,-3.425 °C
144,2026-03-18 22:12:03,-1.823 °C,-3.448 °C
145,2026-03-18 22:13:03,-1.505 °C,-3.432 °C
146,2026-03-18 22:14:03,-1.754 °C,-3.416 °C
147,2026-03-18 22:15:03,-1.341 °C,-3.358 °C
148,2026-03-18 22:16:03,-1.424 °C,-3.317 °C
149,2026-03-18 22:17:03,-1.655 °C,-3.303 °C
150,2026-03-18 22:18:03,-1.626 °C,-3.333 °C
151,2026-03-18 22:19:03,-1.457 °C,-3.324 °C
152,2026-03-18 22:20:03,-1.052 °C,-3.376 °C
153,2026-03-18 22:21:03,-0.999 °C,-3.264 °C
154,2026-03-18 22:22:03,-0.961 °C,-3.162 °C
155,2026-03-18 22:23:03,-0.917 °C,-3.111 °C
156,2026-03-18 22:24:03,-1.187 °C,-3.144 °C
157,2026-03-18 22:25:03,-1.634 °C,-3.214 °C
158,2026-03-18 22:26:03,-1.564 °C,-3.278 °C
159,2026-03-18 22:27:03,-1.328 °C,-3.260 °C
160,2026-03-18 22:28:03,-1.631 °C,-3.255 °C
161,2026-03-18 22:29:03,-1.712 °C,-3.291 °C
162,2026-03-18 22:30:03,-1.369 °C,-3.314 °C
163,2026-03-18 22:31:03,-1.496 °C,-3.299 °C
164,2026-03-18 22:32:03,-1.393 °C,-3.294 °C
165,2026-03-18 22:33:03,-1.338 °C,-3.294 °C
166,2026-03-18 22:34:03,-1.390 °C,-3.303 °C
167,2026-03-18 22:35:03,-1.333 °C,-3.324 °C
168,2026-03-18 22:36:03,-1.295 °C,-3.346 °C
169,2026-03-18 22:37:03,-1.515 °C,-3.373 °C
170,2026-03-18 22:38:03,-1.483 °C,-3.373 °C
171,2026-03-18 22:39:03,-1.390 °C,-3.332 °C
172,2026-03-18 22:40:03,-1.452 °C,-3.339 °C
173,2026-03-18 22:41:03,-1.614 °C,-3.362 °C
174,2026-03-18 22:42:03,-1.381 °C,-3.394 °C
175,2026-03-18 22:43:03,-0.840 °C,-3.362 °C
176,2026-03-18 22:44:03,-0.915 °C,-3.316 °C
177,2026-03-18 22:45:03,-1.417 °C,-3.310 °C
178,2026-03-18 22:46:03,-1.531 °C,-3.308 °C
179,2026-03-18 22:47:03,-1.705 °C,-3.344 °C
180,2026-03-18 22:48:03,-1.707 °C,-3.378 °C
181,2026-03-18 22:49:03,-1.072 °C,-3.266 °C
182,2026-03-18 22:50:03,-0.845 °C,-3.230 °C
183,2026-03-18 22:51:03,-1.450 °C,-3.262 °C
184,2026-03-18 22:52:03,-1.650 °C,-3.319 °C
185,2026-03-18 22:53:03,-1.782 °C,-3.358 °C
186,2026-03-18 22:54:03,-1.891 °C,-3.394 °C
187,2026-03-18 22:55:03,-1.999 °C,-3.423 °C
188,2026-03-18 22:56:03,-1.908 °C,-3.444 °C
189,2026-03-18 22:57:03,-1.479 °C,-3.448 °C
190,2026-03-18 22:58:03,-1.388 °C,-3.441 °C
191,2026-03-18 22:59:03,-1.347 °C,-3.360 °C
192,2026-03-18 23:00:03,-1.069 °C,-3.182 °C
193,2026-03-18 23:01:03,-1.171 °C,-3.130 °C
194,2026-03-18 23:02:03,-1.297 °C,-3.169 °C
195,2026-03-18 23:03:03,-1.365 °C,-3.230 °C
196,2026-03-18 23:04:03,-1.747 °C,-3.260 °C
197,2026-03-18 23:05:03,-1.752 °C,-3.296 °C
198,2026-03-18 23:06:03,-1.917 °C,-3.335 °C
199,2026-03-18 23:07:03,-1.849 °C,-3.367 °C
200,2026-03-18 23:08:03,-1.716 °C,-3.392 °C
201,2026-03-18 23:09:03,-1.180 °C,-3.383 °C
202,2026-03-18 23:10:03,-1.666 °C,-3.351 °C
203,2026-03-18 23:11:03,-1.240 °C,-3.310 °C
204,2026-03-18 23:12:03,-1.045 °C,-3.278 °C
205,2026-03-18 23:13:03,-1.257 °C,-3.285 °C
206,2026-03-18 23:14:03,-0.903 °C,-3.285 °C
207,2026-03-18 23:15:03,-0.813 °C,-3.307 °C
208,2026-03-18 23:16:03,-1.017 °C,-3.346 °C
209,2026-03-18 23:17:03,-1.312 °C,-3.357 °C
210,2026-03-18 23:18:03,-0.414 °C,-3.380 °C
211,2026-03-18 23:19:03,-1.161 °C,-3.387 °C
212,2026-03-18 23:20:03,-1.280 °C,-3.383 °C
213,2026-03-18 23:21:03,-1.591 °C,-3.398 °C
214,2026-03-18 23:22:03,-1.431 °C,-3.432 °C
215,2026-03-18 23:23:03,-1.462 °C,-3.468 °C
216,2026-03-18 23:24:03,-0.394 °C,-3.494 °C
217,2026-03-18 23:25:03,-0.953 °C,-3.482 °C
218,2026-03-18 23:26:03,-1.414 °C,-3.468 °C
219,2026-03-18 23:27:03,-1.747 °C,-3.471 °C
220,2026-03-18 23:28:03,-1.508 °C,-3.480 °C
221,2026-03-18 23:29:03,-1.519 °C,-3.482 °C
222,2026-03-18 23:30:03,-1.763 °C,-3.520 °C
223,2026-03-18 23:31:03,-1.910 °C,-3.534 °C
224,2026-03-18 23:32:03,-1.666 °C,-3.543 °C
225,2026-03-18 23:33:03,-1.980 °C,-3.545 °C
226,2026-03-18 23:34:03,-1.612 °C,-3.541 °C
227,2026-03-18 23:35:03,-1.189 °C,-3.505 °C
228,2026-03-18 23:36:03,-1.429 °C,-3.398 °C
229,2026-03-18 23:37:03,-1.142 °C,-3.412 °C
230,2026-03-18 23:38:03,-1.565 °C,-3.432 °C
231,2026-03-18 23:39:03,-1.598 °C,-3.446 °C
232,2026-03-18 23:40:03,-0.898 °C,-3.205 °C
233,2026-03-18 23:41:03,-1.213 °C,-3.219 °C
234,2026-03-18 23:42:03,-1.484 °C,-3.219 °C
235,2026-03-18 23:43:03,-0.963 °C,-3.187 °C
236,2026-03-18 23:44:03,-1.538 °C,-3.162 °C
237,2026-03-18 23:45:03,-1.595 °C,-3.233 °C
238,2026-03-18 23:46:03,-1.714 °C,-3.285 °C
239,2026-03-18 23:47:03,-2.007 °C,-3.330 °C
240,2026-03-18 23:48:03,-2.150 °C,-3.391 °C
241,2026-03-18 23:49:03,-2.262 °C,-3.441 °C
242,2026-03-18 23:50:03,-1.941 °C,-3.469 °C
243,2026-03-18 23:51:03,-1.967 °C,-3.464 °C
244,2026-03-18 23:52:03,-1.962 °C,-3.478 °C
245,2026-03-18 23:53:03,-1.799 °C,-3.469 °C
246,2026-03-18 23:54:03,-2.044 °C,-3.466 °C
247,2026-03-18 23:55:03,-2.246 °C,-3.502 °C
248,2026-03-18 23:56:03,-2.191 °C,-3.529 °C
249,2026-03-18 23:57:03,-1.742 °C,-3.537 °C
250,2026-03-18 23:58:03,-2.041 °C,-3.530 °C
251,2026-03-18 23:59:03,-2.392 °C,-3.564 °C
252,2026-03-19 00:00:03,-1.922 °C,-3.566 °C
253,2026-03-19 00:01:03,-1.785 °C,-3.532 °C
254,2026-03-19 00:02:03,-1.896 °C,-3.523 °C
255,2026-03-19 00:03:03,-2.145 °C,-3.543 °C
256,2026-03-19 00:04:03,-2.027 °C,-3.564 °C
257,2026-03-19 00:05:03,-2.006 °C,-3.521 °C
258,2026-03-19 00:06:03,-1.959 °C,-3.548 °C
259,2026-03-19 00:07:03,-2.032 °C,-3.564 °C
260,2026-03-19 00:08:03,-2.418 °C,-3.588 °C
261,2026-03-19 00:09:03,-2.490 °C,-3.629 °C
262,2026-03-19 00:10:03,-1.999 °C,-3.651 °C
263,2026-03-19 00:11:03,-2.227 °C,-3.622 °C
264,2026-03-19 00:12:03,-2.371 °C,-3.642 °C
265,2026-03-19 00:13:03,-2.358 °C,-3.663 °C
266,2026-03-19 00:14:03,-2.164 °C,-3.667 °C
267,2026-03-19 00:15:03,-1.502 °C,-3.559 °C
268,2026-03-19 00:16:03,-1.345 °C,-3.475 °C
269,2026-03-19 00:17:03,-1.206 °C,-3.507 °C
270,2026-03-19 00:18:03,-1.875 °C,-3.500 °C
271,2026-03-19 00:19:03,-2.047 °C,-3.502 °C
272,2026-03-19 00:20:03,-1.884 °C,-3.511 °C
273,2026-03-19 00:21:03,-2.115 °C,-3.537 °C
274,2026-03-19 00:22:03,-2.173 °C,-3.573 °C
275,2026-03-19 00:23:03,-1.512 °C,-3.581 °C
276,2026-03-19 00:24:03,-1.726 °C,-3.529 °C
277,2026-03-19 00:25:03,-2.163 °C,-3.552 °C
278,2026-03-19 00:26:03,-2.353 °C,-3.600 °C
279,2026-03-19 00:27:03,-2.126 °C,-3.618 °C
280,2026-03-19 00:28:03,-2.115 °C,-3.625 °C
281,2026-03-19 00:29:03,-2.287 °C,-3.622 °C
282,2026-03-19 00:30:03,-2.610 °C,-3.654 °C
283,2026-03-19 00:31:03,-2.610 °C,-3.690 °C
284,2026-03-19 00:32:03,-2.299 °C,-3.712 °C
285,2026-03-19 00:33:03,-1.830 °C,-3.688 °C
286,2026-03-19 00:34:03,-2.016 °C,-3.654 °C
287,2026-03-19 00:35:03,-2.236 °C,-3.640 °C
288,2026-03-19 00:36:03,-2.175 °C,-3.625 °C
289,2026-03-19 00:37:03,-2.119 °C,-3.611 °C
290,2026-03-19 00:38:03,-2.056 °C,-3.586 °C
291,2026-03-19 00:39:03,-1.455 °C,-3.525 °C
292,2026-03-19 00:40:03,-1.761 °C,-3.484 °C
293,2026-03-19 00:41:03,-1.787 °C,-3.514 °C
294,2026-03-19 00:42:03,-1.881 °C,-3.546 °C
295,2026-03-19 00:43:03,-1.712 °C,-3.555 °C
296,2026-03-19 00:44:03,-1.962 °C,-3.536 °C
297,2026-03-19 00:45:03,-1.964 °C,-3.512 °C
298,2026-03-19 00:46:03,-1.952 °C,-3.512 °C
299,2026-03-19 00:47:03,-1.298 °C,-3.498 °C
300,2026-03-19 00:48:03,-1.704 °C,-3.453 °C
301,2026-03-19 00:49:03,-1.860 °C,-3.487 °C
302,2026-03-19 00:50:03,-2.192 °C,-3.527 °C
303,2026-03-19 00:51:03,-2.322 °C,-3.568 °C
304,2026-03-19 00:52:03,-1.879 °C,-3.564 °C
305,2026-03-19 00:53:03,-2.068 °C,-3.471 °C
306,2026-03-19 00:54:03,-1.508 °C,-3.466 °C
307,2026-03-19 00:55:03,-1.952 °C,-3.419 °C
308,2026-03-19 00:56:03,-1.879 °C,-3.432 °C
309,2026-03-19 00:57:03,-1.619 °C,-3.439 °C
310,2026-03-19 00:58:03,-1.440 °C,-3.407 °C
311,2026-03-19 00:59:03,-1.733 °C,-3.391 °C
312,2026-03-19 01:00:03,-1.900 °C,-3.416 °C
313,2026-03-19 01:01:03,-2.032 °C,-3.466 °C
314,2026-03-19 01:02:03,-0.816 °C,-3.477 °C
315,2026-03-19 01:03:03,-1.776 °C,-3.477 °C
316,2026-03-19 01:04:03,-2.163 °C,-3.525 °C
317,2026-03-19 01:05:03,-1.816 °C,-3.511 °C
318,2026-03-19 01:06:03,-2.013 °C,-3.455 °C
319,2026-03-19 01:07:03,-1.999 °C,-3.457 °C
320,2026-03-19 01:08:03,-1.828 °C,-3.382 °C
321,2026-03-19 01:09:03,-1.820 °C,-3.339 °C
322,2026-03-19 01:10:03,-1.929 °C,-3.349 °C
323,2026-03-19 01:11:03,-1.759 °C,-3.303 °C
324,2026-03-19 01:12:03,-1.709 °C,-3.289 °C
325,2026-03-19 01:13:03,-1.624 °C,-3.312 °C
326,2026-03-19 01:14:03,-1.974 °C,-3.358 °C
327,2026-03-19 01:15:03,-1.667 °C,-3.364 °C
328,2026-03-19 01:16:03,-2.004 °C,-3.391 °C
329,2026-03-19 01:17:03,-1.641 °C,-3.446 °C
330,2026-03-19 01:18:03,-2.122 °C,-3.428 °C
331,2026-03-19 01:19:03,-1.874 °C,-3.466 °C
332,2026-03-19 01:20:03,-2.049 °C,-3.462 °C
333,2026-03-19 01:21:03,-1.830 °C,-3.430 °C
334,2026-03-19 01:22:03,-1.802 °C,-3.389 °C
335,2026-03-19 01:23:03,-1.853 °C,-3.398 °C
336,2026-03-19 01:24:03,-1.922 °C,-3.423 °C
337,2026-03-19 01:25:03,-2.311 °C,-3.478 °C
338,2026-03-19 01:26:03,-2.464 °C,-3.545 °C
339,2026-03-19 01:27:03,-2.344 °C,-3.604 °C
340,2026-03-19 01:28:03,-2.397 °C,-3.602 °C
341,2026-03-19 01:29:03,-2.236 °C,-3.586 °C
342,2026-03-19 01:30:03,-2.260 °C,-3.588 °C
343,2026-03-19 01:31:03,-1.877 °C,-3.496 °C
344,2026-03-19 01:32:03,-1.931 °C,-3.437 °C
345,2026-03-19 01:33:03,-1.922 °C,-3.441 °C
346,2026-03-19 01:34:03,-1.697 °C,-3.432 °C
347,2026-03-19 01:35:03,-1.641 °C,-3.423 °C
348,2026-03-19 01:36:03,-1.690 °C,-3.446 °C
349,2026-03-19 01:37:03,-2.143 °C,-3.502 °C
350,2026-03-19 01:38:03,-1.619 °C,-3.521 °C
351,2026-03-19 01:39:03,-1.983 °C,-3.561 °C
352,2026-03-19 01:40:03,-2.054 °C,-3.568 °C
353,2026-03-19 01:41:03,-2.406 °C,-3.604 °C
354,2026-03-19 01:42:03,-2.339 °C,-3.643 °C
355,2026-03-19 01:43:03,-2.429 °C,-3.663 °C
356,2026-03-19 01:44:03,-2.746 °C,-3.705 °C
357,2026-03-19 01:45:03,-3.164 °C,-3.769 °C
358,2026-03-19 01:46:03,-2.592 °C,-3.798 °C
359,2026-03-19 01:47:03,-2.065 °C,-3.735 °C
360,2026-03-19 01:48:03,-2.313 °C,-3.730 °C
361,2026-03-19 01:49:03,-2.047 °C,-3.679 °C
362,2026-03-19 01:50:03,-2.142 °C,-3.656 °C
363,2026-03-19 01:51:03,-2.281 °C,-3.688 °C
364,2026-03-19 01:52:03,-2.466 °C,-3.726 °C
365,2026-03-19 01:53:03,-2.198 °C,-3.732 °C
366,2026-03-19 01:54:03,-2.608 °C,-3.739 °C
367,2026-03-19 01:55:03,-2.976 °C,-3.843 °C
368,2026-03-19 01:56:03,-2.469 °C,-3.845 °C
369,2026-03-19 01:57:03,-2.873 °C,-3.847 °C
370,2026-03-19 01:58:03,-3.373 °C,-3.898 °C
371,2026-03-19 01:59:03,-3.273 °C,-3.945 °C
372,2026-03-19 02:00:03,-3.242 °C,-3.957 °C
373,2026-03-19 02:01:03,-2.836 °C,-3.968 °C
374,2026-03-19 02:02:03,-3.128 °C,-3.961 °C
375,2026-03-19 02:03:03,-3.475 °C,-4.004 °C
376,2026-03-19 02:04:03,-3.579 °C,-4.044 °C
377,2026-03-19 02:05:03,-3.777 °C,-4.099 °C
378,2026-03-19 02:06:03,-4.017 °C,-4.157 °C
379,2026-03-19 02:07:03,-4.175 °C,-4.233 °C
380,2026-03-19 02:08:03,-4.220 °C,-4.302 °C
381,2026-03-19 02:09:03,-4.425 °C,-4.355 °C
382,2026-03-19 02:10:03,-4.168 °C,-4.361 °C
383,2026-03-19 02:11:03,-4.086 °C,-4.368 °C
384,2026-03-19 02:12:03,-3.503 °C,-4.361 °C
385,2026-03-19 02:13:03,-3.552 °C,-4.326 °C
386,2026-03-19 02:14:03,-3.984 °C,-4.342 °C
387,2026-03-19 02:15:03,-4.028 °C,-4.395 °C
388,2026-03-19 02:16:03,-2.306 °C,-4.341 °C
389,2026-03-19 02:17:03,-1.828 °C,-4.204 °C
390,2026-03-19 02:18:03,-2.446 °C,-4.189 °C
391,2026-03-19 02:19:03,-2.128 °C,-4.193 °C
392,2026-03-19 02:20:03,-2.615 °C,-4.180 °C
393,2026-03-19 02:21:03,-2.580 °C,-4.180 °C
394,2026-03-19 02:22:03,-2.531 °C,-4.173 °C
395,2026-03-19 02:23:03,-2.596 °C,-4.162 °C
396,2026-03-19 02:24:03,-3.196 °C,-4.189 °C
397,2026-03-19 02:25:03,-3.141 °C,-4.288 °C
398,2026-03-19 02:26:03,-2.455 °C,-4.182 °C
399,2026-03-19 02:27:03,-2.848 °C,-4.171 °C
400,2026-03-19 02:28:03,-2.473 °C,-4.175 °C
401,2026-03-19 02:29:03,-2.112 °C,-4.017 °C
402,2026-03-19 02:30:03,-1.754 °C,-3.919 °C
403,2026-03-19 02:31:03,-1.574 °C,-3.878 °C
404,2026-03-19 02:32:03,-2.392 °C,-3.919 °C
405,2026-03-19 02:33:03,-2.915 °C,-4.008 °C
406,2026-03-19 02:34:03,-3.079 °C,-4.077 °C
407,2026-03-19 02:35:03,-2.583 °C,-4.095 °C
408,2026-03-19 02:36:03,-1.947 °C,-4.046 °C
409,2026-03-19 02:37:03,-3.080 °C,-4.048 °C
410,2026-03-19 02:38:03,-3.237 °C,-4.155 °C
411,2026-03-19 02:39:03,-3.162 °C,-4.255 °C
412,2026-03-19 02:40:03,-3.274 °C,-4.332 °C
413,2026-03-19 02:41:03,-3.459 °C,-4.401 °C
414,2026-03-19 02:42:03,-3.760 °C,-4.472 °C
415,2026-03-19 02:43:03,-2.645 °C,-4.527 °C
416,2026-03-19 02:44:03,-3.251 °C,-4.522 °C
417,2026-03-19 02:45:03,-3.143 °C,-4.531 °C
418,2026-03-19 02:46:03,-3.559 °C,-4.492 °C
419,2026-03-19 02:47:03,-3.946 °C,-4.505 °C
420,2026-03-19 02:48:03,-4.319 °C,-4.564 °C
421,2026-03-19 02:49:03,-4.264 °C,-4.650 °C
422,2026-03-19 02:50:03,-4.496 °C,-4.681 °C
423,2026-03-19 02:51:03,-4.474 °C,-4.768 °C
424,2026-03-19 02:52:03,-4.538 °C,-4.845 °C
425,2026-03-19 02:53:03,-4.447 °C,-4.803 °C
426,2026-03-19 02:54:03,-4.714 °C,-4.823 °C
427,2026-03-19 02:55:03,-4.777 °C,-4.871 °C
428,2026-03-19 02:56:03,-5.002 °C,-4.906 °C
429,2026-03-19 02:57:03,-4.847 °C,-4.913 °C
430,2026-03-19 02:58:03,-5.050 °C,-4.947 °C
431,2026-03-19 02:59:03,-4.571 °C,-4.958 °C
432,2026-03-19 03:00:03,-4.569 °C,-4.954 °C
433,2026-03-19 03:01:03,-4.102 °C,-4.902 °C
434,2026-03-19 03:02:03,-4.335 °C,-4.856 °C
435,2026-03-19 03:03:03,-4.322 °C,-4.908 °C
436,2026-03-19 03:04:03,-3.656 °C,-4.948 °C
437,2026-03-19 03:05:03,-3.869 °C,-4.856 °C
438,2026-03-19 03:06:03,-3.291 °C,-4.734 °C
439,2026-03-19 03:07:03,-3.484 °C,-4.655 °C
440,2026-03-19 03:08:03,-3.769 °C,-4.701 °C
441,2026-03-19 03:09:03,-3.407 °C,-4.738 °C
442,2026-03-19 03:10:03,-3.625 °C,-4.709 °C
443,2026-03-19 03:11:03,-3.502 °C,-4.670 °C
444,2026-03-19 03:12:03,-3.986 °C,-4.709 °C
445,2026-03-19 03:13:03,-3.847 °C,-4.784 °C
446,2026-03-19 03:14:03,-3.871 °C,-4.779 °C
447,2026-03-19 03:15:03,-3.800 °C,-4.749 °C
448,2026-03-19 03:16:03,-3.362 °C,-4.812 °C
449,2026-03-19 03:17:03,-2.585 °C,-4.668 °C
