,Time,1,2
S/N,,939301,939301
Type,,TGP-4520,TGP-4520
Description,,TT16,TT16
Property,,Black Probe Temperature,White Probe Temperature
1,2026-03-18 19:49:03,-0.568 °C,1.085 °C
2,2026-03-18 19:50:03,-0.649 °C,-0.477 °C
3,2026-03-18 19:51:03,-0.455 °C,-0.471 °C
4,2026-03-18 19:52:03,-1.505 °C,-0.488 °C
5,2026-03-18 19:53:03,-1.737 °C,-3.262 °C
6,2026-03-18 19:54:03,-1.460 °C,-3.527 °C
7,2026-03-18 19:55:03,-1.479 °C,-3.652 °C
8,2026-03-18 19:56:03,-1.815 °C,-3.625 °C
9,2026-03-18 19:57:03,-2.044 °C,-3.703 °C
10,2026-03-18 19:58:03,-2.072 °C,-3.759 °C
11,2026-03-18 19:59:03,-2.075 °C,-3.789 °C
12,2026-03-18 20:00:03,-1.369 °C,-3.820 °C
13,2026-03-18 20:01:03,-1.365 °C,-3.849 °C
14,2026-03-18 20:02:03,-1.364 °C,-3.863 °C
15,2026-03-18 20:03:03,-1.775 °C,-3.851 °C
16,2026-03-18 20:04:03,-1.966 °C,-3.856 °C
17,2026-03-18 20:05:03,-1.268 °C,-3.849 °C
18,2026-03-18 20:06:03,-1.590 °C,-3.834 °C
19,2026-03-18 20:07:03,-1.491 °C,-3.804 °C
20,2026-03-18 20:08:03,-1.081 °C,-3.699 °C
21,2026-03-18 20:09:03,-1.290 °C,-3.638 °C
22,2026-03-18 20:10:03,-1.125 °C,-3.604 °C
23,2026-03-18 20:11:03,-1.319 °C,-3.642 °C
24,2026-03-18 20:12:03,-1.579 °C,-3.690 °C
25,2026-03-18 20:13:03,-1.839 °C,-3.748 °C
26,2026-03-18 20:14:03,-1.898 °C,-3.787 °C
27,2026-03-18 20:15:03,-1.360 °C,-3.807 °C
28,2026-03-18 20:16:03,-1.002 °C,-3.813 °C
29,2026-03-18 20:17:03,-1.557 °C,-3.838 °C
30,2026-03-18 20:18:03,-1.721 °C,-3.833 °C
31,2026-03-18 20:19:03,-1.988 °C,-3.831 °C
32,2026-03-18 20:20:03,-2.021 °C,-3.833 °C
33,2026-03-18 20:21:03,-1.783 °C,-3.849 °C
34,2026-03-18 20:22:03,-1.609 °C,-3.881 °C
35,2026-03-18 20:23:03,-1.194 °C,-3.865 °C
36,2026-03-18 20:24:03,-1.058 °C,-3.890 °C
37,2026-03-18 20:25:03,-1.405 °C,-3.925 °C
38,2026-03-18 20:26:03,-1.600 °C,-3.950 °C
39,2026-03-18 20:27:03,-1.816 °C,-3.957 °C
40,2026-03-18 20:28:03,-1.698 °C,-3.972 °C
41,2026-03-18 20:29:03,-1.493 °C,-3.988 °C
42,2026-03-18 20:30:03,-1.759 °C,-4.004 °C
43,2026-03-18 20:31:03,-1.771 °C,-4.021 °C
44,2026-03-18 20:32:03,-1.860 °C,-4.006 °C
45,2026-03-18 20:33:03,-1.617 °C,-3.952 °C
46,2026-03-18 20:34:03,-1.438 °C,-3.918 °C
47,2026-03-18 20:35:03,-1.431 °C,-3.901 °C
48,2026-03-18 20:36:03,-1.434 °C,-3.887 °C
49,2026-03-18 20:37:03,-1.460 °C,-3.894 °C
50,2026-03-18 20:38:03,-1.783 °C,-3.934 °C
51,2026-03-18 20:39:03,-1.376 °C,-3.977 °C
52,2026-03-18 20:40:03,-1.412 °C,-4.013 °C
53,2026-03-18 20:41:03,-1.407 °C,-4.003 °C
54,2026-03-18 20:42:03,-1.508 °C,-3.968 °C
55,2026-03-18 20:43:03,-1.206 °C,-3.845 °C
56,2026-03-18 20:44:03,-1.396 °C,-3.737 °C
57,2026-03-18 20:45:03,-1.300 °C,-3.726 °C
58,2026-03-18 20:46:03,-1.569 °C,-3.667 °C
59,2026-03-18 20:47:03,-1.521 °C,-3.726 °C
60,2026-03-18 20:48:03,-1.721 °C,-3.777 °C
61,2026-03-18 20:49:03,-1.709 °C,-3.798 °C
62,2026-03-18 20:50:03,-0.784 °C,-3.849 °C
63,2026-03-18 20:51:03,-1.190 °C,-3.867 °C
64,2026-03-18 20:52:03,-1.412 °C,-3.851 °C
65,2026-03-18 20:53:03,-1.345 °C,-3.820 °C
66,2026-03-18 20:54:03,-1.352 °C,-3.806 °C
67,2026-03-18 20:55:03,-1.546 °C,-3.811 °C
68,2026-03-18 20:56:03,-1.426 °C,-3.833 °C
