"TOA5","CR1000_Layla","CR1000","6316","CR1000.Std.32.07","CPU:mini_AWS_Layla.CR1","33852","Res_data_1_min"
"TIMESTAMP","RECORD","BattV","temperature","rel_humidity","wind_speed","gust_speed","wind_direction","air_pressure","SWup","SWdown","LWup","LWdown","surface_brightness_temperature","IRup_body_temperature","sky_brightness_temperature","IRdown_body_temperature"
"TS","RN","Volts","degC","%","m/s","m/s","deg","hPa","W/m^2","W/m^2","W/m^2","W/m^2","degC","degC","degC","degC"
"","","Min","Avg","Smp","Avg","Max","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2026-03-17 18:45:00",28,12.71,"NAN","NAN",0,0,0,1012.948,0.019,0,258,284.2,-13.43,-6.028,-7.061,-6.157
"2026-03-17 18:46:00",29,12.7,"NAN","NAN",0,0,0,1012.948,0.172,0,260.4,284,-12.83,-6.025,-7.119,-6.139
"2026-03-17 18:47:00",30,12.68,"NAN","NAN",0,0,0,1012.948,0.043,0,258.6,284,-13.27,-6.028,-7.109,-6.126
"2026-03-17 18:48:00",31,12.66,"NAN","NAN",0,0,0,1012.948,16.96,37.65,263.2,295.6,-12.15,-6.026,-4.484,-6.116
"2026-03-17 18:49:00",32,12.66,"NAN","NAN",0,0,0,1013.153,0,0,270.4,289.1,-10.37,-6.021,-5.941,-6.097
"2026-03-17 18:50:00",33,12.67,"NAN","NAN",0,0,0,1013.084,0,0,267,282,-11.18,-6.027,-7.586,-6.095
"2026-03-17 18:51:00",34,12.67,"NAN","NAN",0,0,0,1013.084,0,0.014,268.1,281.5,-10.93,-6.039,-7.696,-6.114
"2026-03-17 18:52:00",35,12.67,"NAN","NAN",0,0,0,1013.084,0.014,0,271.4,281.7,-10.12,-6.058,-7.656,-6.146
"2026-03-17 18:53:00",36,12.66,"NAN","NAN",0,0,0,1013.084,0,0,272.6,281.7,-9.83,-6.08,-7.666,-6.183
"2026-03-17 18:54:00",37,12.66,"NAN","NAN",0,0,0,1013.084,0,0,273.1,281.8,-9.71,-6.102,-7.628,-6.224
"2026-03-17 18:55:00",38,12.66,"NAN","NAN",0,0,0,1013.084,0,0,273.4,281.8,-9.64,-6.124,-7.627,-6.266
"2026-03-17 18:56:00",39,12.65,"NAN","NAN",0,0,0,1013.084,0,0,274.1,282,-9.47,-6.154,-7.576,-6.317
"2026-03-17 18:57:00",40,12.65,"NAN","NAN",0,0,0,1013.084,0,0,274.6,282.4,-9.34,-6.169,-7.483,-6.338
"2026-03-17 18:58:00",41,12.65,"NAN","NAN",0,0,0,1013.084,0,0,274.4,282.7,-9.38,-6.193,-7.426,-6.368
"2026-03-17 18:59:00",42,12.65,"NAN","NAN",0,0,0,1013.084,0,0,273.6,282.8,-9.59,-6.215,-7.396,-6.393
"2026-03-17 19:00:00",43,12.65,"NAN","NAN",0,0,0,1013.084,0,0,273.1,282.9,-9.71,-6.235,-7.38,-6.415
