"TOA5","CR1000_Layla","CR1000","6316","CR1000.Std.32.07","CPU:mini_AWS_Layla.CR1","33852","Res_data_1_min"
"TIMESTAMP","RECORD","BattV","temperature","rel_humidity","wind_speed","gust_speed","wind_direction","air_pressure","SWup","SWdown","LWup","LWdown","surface_brightness_temperature","IRup_body_temperature","sky_brightness_temperature","IRdown_body_temperature"
"TS","RN","Volts","degC","%","m/s","m/s","deg","hPa","W/m^2","W/m^2","W/m^2","W/m^2","degC","degC","degC","degC"
"","","Min","Avg","Smp","Avg","Max","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2026-03-19 12:19:00",2487,12.53,"NAN","NAN",0,0,0,992.2324,58.07,71.49,293.1,289.6,-5.003,-2.99,-5.819,-1.819
"2026-03-19 12:20:00",2488,12.52,"NAN","NAN",0,0,0,992.2316,57.51,70.81,293.2,289.7,-4.995,-2.988,-5.786,-1.828
"2026-03-19 12:21:00",2489,12.52,"NAN","NAN",0,0,0,992.2375,56.51,69.72,293.3,289.8,-4.97,-2.986,-5.76,-1.837
"2026-03-19 12:22:00",2490,12.52,"NAN","NAN",0,0,0,992.3147,56.01,69.12,293.3,290,-4.967,-2.983,-5.735,-1.845
"2026-03-19 12:23:00",2491,12.53,"NAN","NAN",0,0,0,992.3862,56.04,69.16,293.3,290.2,-4.955,-2.979,-5.685,-1.853
"2026-03-19 12:24:00",2492,12.54,"NAN","NAN",0,0,0,992.382,56.5,69.78,293.4,290.4,-4.938,-2.972,-5.621,-1.859
"2026-03-19 12:25:00",2493,12.55,"NAN","NAN",0,0,0,992.3719,57.56,71.08,293.6,290.6,-4.908,-2.964,-5.586,-1.865
"2026-03-19 12:27:00",2494,12.55,"NAN","NAN",0,0,0,992.2939,59.54,73.61,293.7,291.1,-4.871,-2.945,-5.468,-1.869
"2026-03-19 12:28:00",2495,12.55,"NAN","NAN",0,0,0,992.3562,59.21,73.32,293.7,291.4,-4.871,-2.934,-5.41,-1.868
"2026-03-19 12:29:00",2496,12.55,"NAN","NAN",0,0,0,992.3579,57.88,71.59,293.7,291.5,-4.882,-2.923,-5.373,-1.866
"2026-03-19 12:30:00",2497,12.55,"NAN","NAN",0,0,0,992.3594,56.29,69.49,293.9,291.6,-4.826,-2.911,-5.346,-1.864
"2026-03-19 12:31:00",2498,12.55,"NAN","NAN",0,0,0,992.3605,55.44,68.17,294,292,-4.817,-2.898,-5.265,-1.86
"2026-03-19 12:32:00",2499,12.55,"NAN","NAN",0,0,0,992.3547,54.88,67.51,294,292.2,-4.799,-2.883,-5.219,-1.856
"2026-03-19 12:33:00",2500,12.55,"NAN","NAN",0,0,0,992.3463,54.99,67.73,294.1,292.4,-4.794,-2.869,-5.168,-1.852
"2026-03-19 12:34:00",2501,12.55,"NAN","NAN",0,0,0,992.3501,55.21,68.06,294,292.4,-4.799,-2.854,-5.161,-1.847
