"TOA5","1481","CR3000","1481","CR3000.Std.32.06","CPU:AWS_MaggieMay.CR3","1996","Res_data_1_min"
"TIMESTAMP","RECORD","BattV","temperature_1","temperature_2","rel_humidity_1","rel_humidity_2","wind_speed_1","wind_speed_2","gust_speed_1","gust_speed_2","wind_direction","air_pressure","SWup","SWdown","LWup","LWdown","CNR1_T_degC","ground_temperature"
"TS","RN","Volts","degC","degC","%","%","m/s","m/s","m/s","m/s","deg","hPa","W/m^2","W/m^2","W/m^2","W/m^2","degC","degC"
"","","Min","Avg","Avg","Smp","Smp","Avg","Avg","Max","Max","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2026-03-18 14:47:00",1252,13.45,-0.386,-0.305,49.91,46.96,3.5,5.158,4.273,5.978,17.41,998.1815,23.18,28.82,300.2,289.7,-0.774,-1.566
"2026-03-18 14:48:00",1253,13.45,-0.535,-0.363,49.36,47.48,4.498,6.347,6.589,8.53,18.88,998.0475,22.27,27.81,300.2,289.9,-0.811,-1.74
"2026-03-18 14:49:00",1254,13.45,-0.514,-0.346,47.84,47.57,3.952,5.254,5.354,6.86,17.17,998.0214,21.35,26.72,300.7,290.4,-0.782,-1.666
"2026-03-18 14:50:00",1255,13.45,-0.414,-0.314,46.87,45.3,4.732,6.366,8.34,9.31,4.216,998.0108,21.65,26.88,300.8,290.2,-0.741,-1.542
"2026-03-18 14:52:00",1256,0,-0.231,-0.186,45.73,45.52,3.558,4.986,4.788,6.468,0.071,959.5,20.87,26.06,289.2,278.7,-0.65,-1.431
"2026-03-18 14:53:00",1257,13.45,-0.276,-0.226,47.79,46.86,2.566,3.922,3.243,4.508,14.66,998.0193,21.6,26.93,300.4,289.7,-0.689,-1.54
"2026-03-18 14:54:00",1258,13.45,-0.37,-0.313,50.93,50.98,2.613,4.076,5.457,6.664,23.46,997.9322,21.29,26.59,300.1,289.5,-0.719,-1.712
"2026-03-18 14:55:00",1259,13.45,-0.492,-0.412,46.62,45.47,5.631,7.311,8.39,9.9,23.65,997.9098,20.48,25.67,300.6,290.1,-0.736,-1.91
"2026-03-18 14:56:00",1260,13.45,-0.382,-0.315,49.34,47.99,4.609,6.536,6.023,7.644,26.71,997.9232,21.34,26.54,300.9,289.9,-0.695,-2.648
"2026-03-18 14:57:00",1261,13.45,-0.479,-0.374,48.38,45.99,4.077,6.029,5.457,7.35,31.02,997.9405,21.28,26.62,300.6,289.4,-0.754,-2.987
