"TOA5","1481","CR3000","1481","CR3000.Std.32.06","CPU:AWS_MaggieMay.CR3","1996","Res_data_1_min"
"TIMESTAMP","RECORD","BattV","temperature_1","temperature_2","rel_humidity_1","rel_humidity_2","wind_speed_1","wind_speed_2","gust_speed_1","gust_speed_2","wind_direction","air_pressure","SWup","SWdown","LWup","LWdown","CNR1_T_degC","ground_temperature"
"TS","RN","Volts","degC","degC","%","%","m/s","m/s","m/s","m/s","deg","hPa","W/m^2","W/m^2","W/m^2","W/m^2","degC","degC"
"","","Min","Avg","Avg","Smp","Smp","Avg","Avg","Max","Max","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2026-03-20 00:01:00",3246,13.42,-6.069,-6.055,84,83.8,0,1.055,0,1.274,41.75,991.6469,0.503,0.287,288.7,284,-6.192,-5.065
"2026-03-20 00:02:00",3247,13.46,-6.056,-6.06,84,83.9,0,1.467,0,1.764,41.1,991.63,0.493,0.258,288.8,283.7,-6.181,-5.064
"2026-03-20 00:03:00",3248,13.46,-6.053,-6.082,84,84,0,1.729,0,1.862,27.87,991.6157,0.474,0.258,288.8,283.4,-6.161,-5.059
"2026-03-20 00:04:00",3249,13.46,-6.054,-6.11,83.9,84.1,0,1.576,0,1.764,23.61,991.5812,0.546,0.287,288.7,283.2,-6.155,-5.059
"2026-03-20 00:05:00",3250,13.46,-6.068,-6.141,83.9,84.2,0,1.592,0,1.862,23.36,991.5599,0.465,0.216,288.6,282.9,-6.158,-5.06
"2026-03-20 00:06:00",3251,13.46,-6.08,-6.167,83.8,84.2,0,1.714,0,1.96,23.06,991.5275,0.44,0.187,288.5,282.7,-6.155,-5.062
"2026-03-20 00:07:00",3252,13.46,-6.092,-6.186,83.8,84.2,0,1.782,0,2.156,23.91,991.5177,0.421,0.139,288.6,282.7,-6.149,-5.067
"2026-03-20 00:08:00",3253,13.46,-6.099,-6.196,83.8,84,0,1.985,0,2.352,22.85,991.5077,0.374,0.139,288.5,282.8,-6.142,-5.069
"2026-03-20 00:09:00",3254,13.46,-6.104,-6.199,83.7,83.8,0,1.971,0,2.156,22.38,991.5021,0.383,0.139,288.5,283.1,-6.139,-5.07
"2026-03-20 00:10:00",3255,13.46,-6.102,-6.195,83.6,83.7,0.082,1.797,1.184,1.96,21.78,991.5021,0.377,0.139,288.5,283.3,-6.137,-5.071
"2026-03-20 00:11:00",3256,13.46,-6.096,-6.189,83.4,83.6,1.049,1.744,1.338,1.96,21.38,991.4931,0.397,0.144,288.6,283.4,-6.124,-5.076
"2026-03-20 00:12:00",3257,13.46,-6.089,-6.182,83.4,83.5,0.457,1.634,1.184,1.862,21.49,991.4931,0.407,0.144,288.6,283.3,-6.122,-5.079
"2026-03-20 00:13:00",3258,13.45,-6.084,-6.173,83.3,83.5,0.465,1.625,1.287,1.862,21.5,991.4755,0.412,0.144,288.6,283.1,-6.121,-5.079
"2026-03-20 00:14:00",3259,13.45,-6.075,-6.159,83.3,83.4,0.321,1.514,1.184,1.764,21.58,991.4664,0.402,0.144,288.6,282.9,-6.112,-5.08
"2026-03-20 00:15:00",3260,13.46,-6.054,-6.136,83.2,83.5,0.071,1.29,0.36,1.568,21.65,991.4554,0.398,0.139,288.5,282.6,-6.107,-5.08
"2026-03-20 00:16:00",3261,13.46,-6.035,-6.114,83.2,83.4,0,1.397,0,1.666,19.67,991.4494,0.406,0.134,288.6,282.6,-6.097,-5.082
"2026-03-20 00:17:00",3262,13.46,-6.01,-6.087,83.2,83.4,0.007,1.343,0.154,1.568,20.03,991.46,0.516,0.196,288.6,282.7,-6.092,-5.08
"2026-03-20 00:18:00",3263,13.46,-5.982,-6.051,83.2,83.1,0.1,1.436,0.412,1.568,20.09,991.4601,0.493,0.181,288.6,282.8,-6.078,-5.073
